age,age_pm,age_high,age_low,site_lat,site_lon,model_lat,model_lon,plate,nn,k,dec,inc,model_vgp_lat,model_vgp_lon,site,site_ID,location,psv10_location,reference,magic_method_code
2.60E+00,2.00E-04,999,999,18.45,264.65,18.58647853,264.8714489,NA,5,56,334.7,27.1,65.4,168.8,SRG1,1,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR
2.60E+00,2.00E-04,999,999,18.467,264.656,18.60342285,264.8776264,NA,5,108,343.9,43.3,73.7,201.7,SRG2,2,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR
2.20E+00,3.00E-04,999,999,18.422,264.667,18.53748312,264.854048,NA,7,91,172.1,-29.4,-81.9,335.7,SRG3,3,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM-ZI
3.10E+00,2.00E-04,999,999,18.417,264.78,18.5780753,265.043928,NA,7,171,182,-18.6,-80.8,252.7,SRG5,4,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR
1.40E+00,2.00E-04,999,999,18.234,265.133,18.30536209,265.2510617,NA,6,72,173.9,-30.4,-83.9,337.6,SRG6,5,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR
2.20E+00,2.00E-04,999,999,18.469,264.764,18.58373055,264.9515147,NA,6,63,184.9,-41.6,-83,124.6,SRG7,6,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR
1.00E+00,1.00E-04,999,999,18.391,265.067,18.44226387,265.15188,NA,9,166,172.2,-42.6,-80.4,37.3,SRG8,7,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM-ZI
8.00E-01,1.00E-04,999,999,18.442,264.929,18.48342363,264.9970131,NA,7,79,358.9,37.1,87.5,240.3,TP,8,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM-ZI
8.00E-01,1.00E-04,999,999,18.469,264.843,18.51066571,264.9110771,NA,10,86,1.6,18.2,80.7,75.1,TS,9,Mexico,Mexico,Alvavaldivia01,GM-KAR:LP-DC5:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,9,87,3.8,31.7,85.8,21.2,1,10,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,8,351,0.2,34.7,89.7,41.8,2,11,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,10,131,2,33.5,87.9,18.8,3,12,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,10,156,2.7,31.7,86.6,30.6,4,13,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,8,72,2.9,34.7,87.3,355.2,5,14,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,9,309,356.2,30.4,85.3,131.9,6,15,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,9,280,5.1,35.9,85.2,343.2,7,16,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,8,57,359.1,32.8,88.3,111.1,8,17,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,7,117,356.7,37.8,86.4,202.5,9,18,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
1.96E-03,999,1.97E-03,1.96E-03,19.33,260.83,19.33012988,260.8301706,NA,5,393,2.6,37.5,87,316.2,10,19,"Xitle Volcano, Mexico",Mexico,Alvavaldivia05,GM-CC:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
7.50E-02,999,1.50E-01,0.00E+00,-62.994,299.321,-63.0005719,299.2957072,AN,6,354,344.3,-72,80.2,239.8,DI 03,20,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.997,299.41,-63.00357841,299.3847262,AN,6,351,8,-68.2,77.6,323.2,DI 04,21,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-63.012,299.326,-63.01857226,299.3007019,AN,4,159,4.3,-85.5,71.9,117.1,DI 06,22,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.979,299.283,-62.98556911,299.257704,AN,4,268,310.3,-74.8,67.4,190.5,DI 07,23,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.985,299.295,-62.99156999,299.2697046,AN,6,82,24.3,-70.6,75.2,7.2,DI 09,24,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.955,299.288,-62.96156948,299.2627137,AN,5,142,355.3,-79.2,83.6,134.4,DI 10,25,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.896,299.422,-62.90257929,299.3967646,AN,5,252,346.8,-76.3,84,192.9,DI 12,26,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.931,299.289,-62.93756955,299.2637224,AN,6,408,341.7,-79.6,80,157.8,DI 13,27,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.985,299.295,-62.99156999,299.2697046,AN,6,202,355.2,-73.2,85.3,267.6,DI 15,28,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.985,299.295,-62.99156999,299.2697046,AN,7,209,284.2,-62.5,44.2,196.6,DI 16,29,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.985,299.295,-62.99156999,299.2697046,AN,5,85,195.8,-81.2,46.2,126,DI 17,30,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.932,299.265,-62.93856779,299.2397167,AN,8,65,312.9,-55.1,50.4,230.2,DI 19,31,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-63,299.265,-63.00656779,299.2396925,AN,5,128,11.9,-72.4,82,352,DI 20,32,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.984,299.471,-62.99058287,299.4457446,AN,5,98,358.7,-74.7,88.2,278.9,DI 23,33,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.898,299.43,-62.90457988,299.4047657,AN,6,377,350.1,-73.9,84.5,236.5,DI 27,34,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.919,299.334,-62.92557285,299.3087367,AN,5,939,55.7,-87.4,65.5,108.9,DI 29,35,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-63,299.429,-63.0065798,299.4037294,AN,6,55,338.5,-60.7,65.2,258.6,DI 30,36,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
7.50E-02,999,1.50E-01,0.00E+00,-62.945,299.413,-62.95157863,299.3877453,AN,4,339,253.1,-36.7,10.8,185.3,DI 90,37,Deception Island,Deception Island,Baraldo03,FS-FD:LP-DC5:LP-DIR-AF:LP-DIR-T
1.84E-01,3.00E-03,999,999,20.075,204.15,20.02170438,204.2574418,PA,5,198.5,340.9,34.3,72,113.7,HW01,38,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI:LP-PI-TRM
1.81E-01,3.00E-03,999,999,20.104,204.125,20.05157354,204.230699,PA,8,165.4,343.9,31.8,74.5,106.4,HW02,39,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI:LP-PI-TRM
2.54E-01,1.20E-02,999,999,20.117,204.121,20.04342898,204.2693208,PA,12,100.4,3.7,55.4,73.8,215.1,HW03,40,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI:LP-PI-TRM
1.53E-01,3.00E-03,999,999,20.142,204.117,20.09768382,204.2063527,PA,14,127.6,6.4,32.7,83.5,314,HW04,41,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI:LP-PI-TRM
3.82E-01,1.60E-02,999,999,20.15,204.105,20.0393535,204.3280504,PA,6,522.9,350.2,21.9,77.2,73.2,HW05,42,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T
4.00E-01,8.00E-03,999,999,20.17,204.1,20.05413979,204.3335608,PA,5,110.1,346.8,31.6,77.1,103.2,HW06,43,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T
3.37E-01,1.30E-02,999,999,20.208,204.158,20.11038721,204.354751,PA,4,537.7,1.4,14.4,77.1,18.1,HW07,44,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T
2.26E-01,2.00E-03,999,999,20.21,204.262,20.144538,204.3939159,PA,5,144.7,1.1,16.2,78.1,19.1,P001,45,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI:LP-PI-TRM
1.40E-01,4.00E-03,999,999,20.067,204.238,20.02644856,204.3197298,PA,6,239.1,352.7,45.4,80.4,161.4,PM01,46,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI:LP-PI-TRM
6.10E-02,3.00E-03,999,999,20.112,204.425,20.09433086,204.4605925,PA,11,311.1,350.1,30.6,79.9,95,WA01,47,Hawaii,"Hawaii, USA",Brassert97,GM-KAR:LP-DC4:LP-DIR-T
1.02E+00,1.00E-02,999,999,-46.87,289.26,-46.93849574,289.2214911,SA,6,145,183.6,-47.7,-14.2,112.5,PAT 1,48,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.09E-01,6.00E-03,999,999,-46.7,289.25,-46.70734948,289.2459304,SA,8,245,15.7,-73,74.9,76.5,PAT 2,49,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.29E+00,3.00E-02,999,999,-47.13,289.14,-47.21675631,289.0899256,SA,10,54,34.6,84.6,-38.1,296.8,PAT 27,50,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
6.45E-01,999,1.29E+00,0.00E+00,-47.13,289.14,-47.21709241,289.0897308,SA,6,112,75.7,77.6,-37.1,318.4,PAT 28,51,"Patagonia, Argentina",Patagonia,Brown04,LP-DC5:LP-DIR-AF:LP-DIR-T
7.00E-02,2.40E-02,999,999,-47.1,289.2,-47.10471535,289.1973042,SA,8,425,9.7,-50.1,72.1,317.3,PAT 29,52,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
7.60E-01,1.40E-02,999,999,-46.7,289.16,-46.75114277,289.1314819,SA,9,327,9.8,-60.9,81.5,348.1,PAT 3,53,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
7.43E-01,1.20E-02,999,999,-47.06,289.18,-47.11001814,289.1513916,SA,5,194,20.1,-70.6,75.2,58.2,PAT 30,54,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.49E+00,5.00E-02,999,999,-47.06,289.18,-47.16027752,289.1224965,SA,8,113,167,70.9,-78.5,329.2,PAT 31,55,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
7.71E+00,7.00E-02,999,999,-46.9,288.9,-47.41483288,288.5974983,SA,9,207,218.4,64.3,-63.9,210.1,PAT 32,56,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
7.54E-01,1.14E-01,999,999,-46.92,288.9,-46.97048232,288.870999,SA,9,121,5.4,-73.6,77.1,96.6,PAT 33,57,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.14E+00,6.40E-02,999,999,-46.9,288.81,-46.97638068,288.7659203,SA,6,253,153.2,77.8,-65.9,314.7,PAT 34,58,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
3.27E-01,1.60E-02,999,999,-46.95,288.64,-46.97178536,288.6273054,SA,10,261,33.3,-75.5,65.7,70.8,PAT 35,59,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.72E+00,2.00E-02,999,999,-46.91,288.6,-47.02443776,288.5330528,SA,10,341,279.5,50.1,-16.2,226.7,PAT 36,60,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
3.41E-01,3.30E-02,999,999,-46.96,288.57,-46.9826865,288.556722,SA,7,294,55.5,-80.7,54.6,82.3,PAT 37,61,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
4.33E-01,1.20E-02,999,999,-46.97,288.68,-46.99886889,288.663182,SA,6,459,5,-48.8,72.3,303.1,PAT 40,62,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
7.86E+00,1.60E-01,999,999,-46.9,288.7,-47.42274002,288.3895133,SA,9,108,112,-16.6,-8.2,40.5,PAT 41,63,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
7.52E-01,3.00E-02,999,999,-46.9,288.79,-46.9502399,288.7610152,SA,10,119,50.8,-70.2,57.7,50.9,PAT 42,64,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.36E+00,5.00E-02,999,999,-46.9,288.91,-46.99105273,288.8576865,SA,6,218,165.3,67.8,-79.6,352,PAT 43,65,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.34E+00,1.03E-01,999,999,-46.95,288.93,-47.03981633,288.8782651,SA,10,100,169.6,56.9,-77.8,66.4,PAT 44,66,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.37E+00,3.00E-02,999,999,-47,289.1,-47.09206255,289.0472408,SA,8,118,187.5,61.6,-83.2,162.5,PAT 45,67,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.39E+00,4.00E-02,999,999,-47.05,288.95,-47.14313258,288.8960089,SA,8,115,177.5,59.9,-83.4,92.2,PAT 46,68,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.34E+00,3.00E-02,999,999,-47.05,288.95,-47.1397842,288.897959,SA,8,132,184.8,73.1,-78.1,276.8,PAT 47,69,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
6.70E-02,4.00E-03,999,999,-47.09,289.16,-47.09450977,289.1574183,SA,10,84,16.1,-64,78.8,18,PAT 49,70,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.07E+00,2.80E-02,999,999,-46.9,289.3,-46.97246035,289.2592493,SA,5,264,326.2,-66.9,67.5,180.2,PAT 5,71,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
3.35E-02,999,6.70E-02,0.00E+00,-47.09,289.16,-47.42592288,288.9643792,SA,8,144,356.2,-43.9,68.4,279.8,PAT 50,72,"Patagonia, Argentina",Patagonia,Brown04,LP-DC5:LP-DIR-AF:LP-DIR-T
3.03E+00,3.00E-02,999,999,-47.12,288.28,-47.32020753,288.1585701,SA,5,316,200,38.2,-59.5,147,PAT 52,73,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
2.42E+00,3.50E-02,999,999,-47.12,288.28,-47.28007303,288.1831129,SA,7,148,174.7,49.1,-72.2,93,PAT 53,74,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
3.18E+00,4.00E-02,999,999,-47.12,288.27,-47.33006388,288.142462,SA,5,221,27.4,-47.5,61.7,346.6,PAT 54,75,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.71E+00,2.60E-02,999,999,-47.1,288.25,-47.21291442,288.1818152,SA,5,204,146.9,49.5,-59.5,39.9,PAT 55,76,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
3.29E+00,2.20E-01,999,999,-47,288.24,-47.21719203,288.1090186,SA,7,167,186.5,43.5,-67.6,123.7,PAT 56,77,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.25E+00,3.10E-02,999,999,-47.11,289.02,-47.19387126,288.9713656,SA,10,57,32.2,68.4,-12.6,308.8,PAT 57,78,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
9.84E-01,3.50E-02,999,999,-46.92,289.2,-46.98626204,289.1624958,SA,8,165,317.3,-84.8,54,121.1,PAT 6,79,"Patagonia, Argentina",Patagonia,Brown04,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,9,71.3,5.8,27.4,83.9,87.8,AW04,80,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,6,90.2,4.4,44.9,79.7,357.2,AW05,81,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,7,61.1,7.6,48.2,76,3,AW06,82,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,52.2,359.3,52.7,73.7,332.5,AW07,83,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,9,220.6,8,47.1,76.5,6.4,AW08,84,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,158.8,357.2,51,75.1,325.3,AW10,85,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.57E-01,3.00E-02,999,999,17.08,334.72,17.01858828,334.6414431,NB,9,239.1,11.2,36.8,78.8,44.7,AW12,86,Cape Verde,Cape Verde,Brown09,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,8,175.8,352,29.7,82.3,237.6,AW13,87,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,9,222.4,12.6,28.1,77.7,72.5,AW14,88,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,13,133,9.7,31.8,80.7,61.9,AW15,89,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.51E-01,3.50E-02,999,999,17.08,334.72,17.01939398,334.6424748,NB,7,99.9,5,17.7,80.7,122.6,AW16,90,Cape Verde,Cape Verde,Brown09,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,8,73.6,5.4,15,79.2,124.7,AW17,91,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,257.2,358.2,12,78.9,164,AW18,92,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,9,83.4,359.1,19.5,83,161.9,AW20,93,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.76E-01,4.00E-02,999,999,17.08,334.72,17.016037,334.6381759,NB,10,78.7,2.9,25.4,85.4,116.8,AW21,94,Cape Verde,Cape Verde,Brown09,GM-ARAR:LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,223.4,355.9,24.2,84.1,197.5,AW22,95,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,7,154,31.2,33.2,60.3,57.8,AW23,96,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,9,83,357.3,30.3,87.3,229.3,AW25,97,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,8,275.1,349.1,31,79.6,244.6,AW26,98,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,50.5,339.6,18.5,68.8,226.5,AW27,99,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,7,112.7,344.8,17.8,73.2,218.5,AW28,100,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,7,676.4,340.5,17,69.3,223.4,AW29,101,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,7,338.6,351.6,55.5,69.6,314.9,AW30,102,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,242.4,0.7,36.3,86.8,346.4,AW32,103,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,10,303.5,19.1,42.3,70.7,38.8,AW33,104,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,6,59,177.1,-7.3,-76.3,347,AW34,105,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
4.77E-01,999,5.41E-01,4.12E-01,17.08,334.72,17.01596987,334.6380899,NB,8,426,177.3,-16.7,-81.1,352.2,AW35,106,Cape Verde,Cape Verde,Brown09,LP-DC5:LP-DIR-AF:LP-DIR-T
2.61E+00,999,2.93E+00,2.29E+00,37.65,358.8,37.28013035,358.2855578,EU,9,111.5,198.2,-48.5,-73,290.2,C2,107,South Eastern Spain,Spain,Calvorathert09,GM-CC:LP-DC4:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-TRM-ZI
